source_concept_id,source_concept_name,is_retired,type,Reference code system,Reference code,frequency
10347,Nelfinavir,1,Drug,,,7
1002,Myalgia,0,Finding,CIEL,121,7
47084,CDC category b,0,ConvSet,CIEL,1202,7
3206,"Toxicity, drug",0,Diagnosis,CIEL,102,7
991955,GROUP 19,0,State,,,7
11408,Other family member,0,Misc,CIEL,5620,6
8239,Ethambutol,1,Drug,,,6
991967,GROUP 20,0,State,,,6
51038,Arthritis,1,Diagnosis,SNOMED CT,3723001,6
991970,GROUP 1,0,State,,,6
4309,Grandparent,0,Misc,CIEL,973,6
13947,Gastritis,1,Diagnosis,SNOMED CT,4556007,6
991965,GROUP 11,0,State,,,6
8168,Fluconazole,1,Drug,,,5
14383,Tinea capitis,1,Diagnosis,3BT,10016409,5
991958,GROUP 7,0,State,,,5
991983,GROUP 23,0,State,,,5
991994,GROUP 24,0,State,,,5
4364,Dapsone,1,Drug,,,5
11668,Urinary tract infection,1,Diagnosis,SNOMED CT,68566005,5
991963,GROUP 13,0,State,,,5
991971,GROUP 33,0,State,,,5
991995,GROUP 32,0,State,,,5
13399,Gastroenteritis,1,Diagnosis,SNOMED CT,111939009,5
47184,CDC category a,0,ConvSet,CIEL,1201,5
55849,Cough,1,Symptom/Finding,,,5
42090,Cryptococcus treatment adherence in past week,0,Question,CIEL,1247,5
991981,GROUP 30,0,State,,,5
642,Few,0,Misc,CIEL,1160,4
13973,Fungal infection,0,Diagnosis,CIEL,171,4
991998,GROUP PEDI 5,0,State,,,4
158,Rifampicin and isoniazid,0,Drug,CIEL,1194,4
991991,GROUP PEDI 4,0,State,,,4
929,Rash,0,Symptom/Finding,CIEL,512,4
12184,Infant formula,0,Drug,CIEL,5254,4
991985,GROUP 3,0,State,,,4
3071,Tonsillitis,0,Diagnosis,CIEL,112,4
51248,Tuberculosis prophylactic drugs,0,MedSet,CIEL,1158,4
1033,Bronchospasm,0,Symptom,CIEL,108,4
36363,Diarrhea,1,Diagnosis,SNOMED CT,62315008,4
1117,"Candidiasis, oral",0,Diagnosis,CIEL,5334,4
1530,"Pneumonia, tuberculous",0,Diagnosis,CIEL,42,4
4310,Sibling,0,Misc,CIEL,972,4
50517,Mucocutaneous exam findings,0,Finding,CIEL,1166,4
1534,"Candidiasis, vaginal",0,Diagnosis,CIEL,298,4
4311,Father,0,Misc,CIEL,971,4
991956,GROUP 27,0,State,,,4
4401,Rhinitis,1,Finding,,,3
991966,GROUP 22,0,State,,,3
991982,GROUP 36,0,State,,,3
1237,Pelvic inflammatory disease,0,Diagnosis,CIEL,902,3
3296,Dosing change,0,Finding,CIEL,981,3
4411,Anorexia,1,Finding,CIEL,868,3
36253,Transfer care to other center,0,Question,CIEL,1285,3
52639,Otitis media,1,Diagnosis,3BT,10058459,3
2439,"Anemia, iron deficiency",0,Diagnosis,CIEL,1226,3
3298,Pruritus,0,Finding,CIEL,879,3
13367,Peptic ulcer,1,Diagnosis,SNOMED CT,196705008,3
53357,Pharyngitis,1,Diagnosis,SNOMED CT,405737000,3
